block,wallet_type,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
12738509,EOA,0–1,3312397,1.129285831378304,1.0,1.0,1.0,1.0,2.0,3.0,328.0
12738509,EOA,"1,000–10,000",982987,2.2028948500844874,1.0,1.0,2.0,5.0,7.0,13.0,350.0
12738509,EOA,"10,000–100,000",268580,3.222172164718147,1.0,1.0,3.0,7.0,12.0,24.0,614.0
12738509,EOA,"100–1,000",2309767,1.4317115102951943,1.0,1.0,1.0,2.0,3.0,6.0,253.0
12738509,EOA,1–100,6545493,1.1765358239631454,1.0,1.0,1.0,2.0,2.0,4.0,257.0
12738509,EOA,">100,000",80494,2.936107039033965,1.0,1.0,2.0,6.0,10.0,27.0,715.0
12936340,CA,0–1,35201,1.0316752364989632,1.0,1.0,1.0,1.0,1.0,2.0,20.0
12936340,CA,"1,000–10,000",3857,1.3759398496240602,1.0,1.0,1.0,2.0,3.0,7.0,21.0
12936340,CA,"10,000–100,000",3066,1.380952380952381,1.0,1.0,1.0,2.0,3.0,7.0,33.0
12936340,CA,"100–1,000",4888,1.2137888707037643,1.0,1.0,1.0,2.0,2.0,4.130000000000109,12.0
12936340,CA,1–100,7946,1.1259753335011327,1.0,1.0,1.0,1.0,2.0,3.0,10.0
12936340,CA,">100,000",2334,1.7562125107112254,1.5,1.0,2.0,3.0,3.0,7.0,44.0
12936340,EOA,0–1,3398407,1.1280935450050569,1.0,1.0,1.0,1.0,2.0,3.0,328.0
12936340,EOA,"1,000–10,000",1005819,2.2310067715960824,1.0,1.0,2.0,5.0,7.0,13.0,643.0
12936340,EOA,"10,000–100,000",267175,3.476485449611678,1.0,1.0,4.0,8.0,12.0,25.0,481.0
12936340,EOA,"100–1,000",2475315,1.4207549342204933,1.0,1.0,1.0,2.0,3.0,6.0,253.0
12936340,EOA,1–100,6771607,1.1746455457323497,1.0,1.0,1.0,2.0,2.0,4.0,398.0
12936340,EOA,">100,000",94175,2.901555614547385,1.0,1.0,2.0,6.0,10.0,27.0,755.0
13136427,CA,0–1,36330,1.0319020093586568,1.0,1.0,1.0,1.0,1.0,2.0,20.0
13136427,CA,"1,000–10,000",3957,1.3659337882234015,1.0,1.0,1.0,2.0,3.0,7.0,20.0
13136427,CA,"10,000–100,000",3380,1.3736686390532544,1.0,1.0,1.0,2.0,3.0,7.0,33.0
13136427,CA,"100–1,000",5215,1.2013422818791946,1.0,1.0,1.0,2.0,2.0,4.0,12.0
13136427,CA,1–100,7993,1.1249843613161516,1.0,1.0,1.0,1.0,2.0,3.0,10.0
13136427,CA,">100,000",2577,1.7504850601474582,1.0,1.0,2.0,2.0,3.0,7.0,44.0
13136427,EOA,0–1,3418433,1.1266992800502453,1.0,1.0,1.0,1.0,2.0,3.0,328.0
13136427,EOA,"1,000–10,000",1172648,2.1211957893587847,1.0,1.0,2.0,4.0,6.0,11.0,313.0
13136427,EOA,"10,000–100,000",362047,3.251541926876897,1.0,1.0,3.0,8.0,11.0,23.0,665.0
13136427,EOA,"100–1,000",2748012,1.3788909946535897,1.0,1.0,1.0,2.0,3.0,6.0,253.0
13136427,EOA,1–100,6823016,1.1663906401509245,1.0,1.0,1.0,2.0,2.0,3.0,398.0
